REPO, SHA, CONFIG_PARAMETER, TEST_NAME, VALUE, TYPE(GOOD|BAD), EXPECTATION(PASS|FAIL)
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, hadoop.security.crypto.cipher.suite,org.apache.hadoop.crypto.TestCryptoStreams#testAvailable, AES/CTR/NoPadding, GOOD, PASS
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, hadoop.security.crypto.cipher.suite,org.apache.hadoop.crypto.TestCryptoStreams#testAvailable, AES/CTR/Padding, BAD, FAIL
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, hadoop.security.kms.client.timeout,org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider#testGetActualUGI, 60, GOOD, PASS
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, hadoop.security.kms.client.timeout,org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider#testGetActualUGI, 100, GOOD, PASS
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, hadoop.security.kms.client.timeout,org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider#testGetActualUGI, 120, GOOD, PASS
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, hadoop.security.kms.client.timeout,org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider#testGetActualUGI, abc, BAD, FAIL
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, hadoop.kerberos.keytab.login.autorenewal.enabled,org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider#testGetActualUGI, false, GOOD, PASS
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, hadoop.kerberos.keytab.login.autorenewal.enabled,org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider#testGetActualUGI, true, GOOD, PASS
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, hadoop.security.group.mapping,org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider#testGetActualUGI, org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback, GOOD, PASS
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, hadoop.security.group.mapping,org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider#testGetActualUGI, org.apache.hadoop.security, BAD, FAIL
https://github.com/apache/hadoop.git, a3b9c37a397ad4188041dd80621bdeefc46885f2, hadoop.security.auth_to_local.mechanism,org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider#testGetActualUGI, hadoop, GOOD, PASS
